municipio,año,casos,poblacion,casos_per_100k,key
ACHI,1995,2,,,ACHI_1995
ACHI,1996,3,,,ACHI_1996
ACHI,1997,8,,,ACHI_1997
ACHI,1998,7,,,ACHI_1998
ACHI,1999,11,,,ACHI_1999
ACHI,2000,12,,,ACHI_2000
ACHI,2001,8,,,ACHI_2001
ACHI,2002,5,,,ACHI_2002
ACHI,2003,1,,,ACHI_2003
ACHI,2004,1,,,ACHI_2004
ACHI,2016,2,,,ACHI_2016
ACHI,2017,1,,,ACHI_2017
ACHI,2020,2,,,ACHI_2020
ACHI,2021,1,,,ACHI_2021
AGRADO,1999,1,9151.0,10.927767457108512,AGRADO_1999
AGRADO,2002,1,9151.0,10.927767457108512,AGRADO_2002
AGRADO,2003,1,9151.0,10.927767457108512,AGRADO_2003
AGUA DE DIOS,1998,2,13592.0,14.714537963507945,AGUA DE DIOS_1998
AGUA DE DIOS,1999,2,13592.0,14.714537963507945,AGUA DE DIOS_1999
AGUA DE DIOS,2001,1,13592.0,7.357268981753973,AGUA DE DIOS_2001
AGUACHICA,1985,2,124553.0,1.6057421338707216,AGUACHICA_1985
AGUACHICA,1986,3,124553.0,2.4086132008060828,AGUACHICA_1986
AGUACHICA,1987,2,124553.0,1.6057421338707216,AGUACHICA_1987
AGUACHICA,1988,9,124553.0,7.225839602418248,AGUACHICA_1988
AGUACHICA,1989,3,124553.0,2.4086132008060828,AGUACHICA_1989
AGUACHICA,1990,12,124553.0,9.634452803224331,AGUACHICA_1990
AGUACHICA,1991,24,124553.0,19.268905606448662,AGUACHICA_1991
AGUACHICA,1992,10,124553.0,8.02871066935361,AGUACHICA_1992
AGUACHICA,1993,5,124553.0,4.014355334676805,AGUACHICA_1993
AGUACHICA,1994,5,124553.0,4.014355334676805,AGUACHICA_1994
AGUACHICA,1995,5,124553.0,4.014355334676805,AGUACHICA_1995
AGUACHICA,1996,9,124553.0,7.225839602418248,AGUACHICA_1996
AGUACHICA,1997,15,124553.0,12.043066004030413,AGUACHICA_1997
AGUACHICA,1998,15,124553.0,12.043066004030413,AGUACHICA_1998
