año,municipio,departamento,categoria,grupo_especifico,tipo_violencia,lat,lon
2003,CALAMAR,GUAVIARE,GRUPO ARMADO NO IDENTIFICADO,,AT_Atentados_Terroristas,1.613634284,-73.0342639
2003,ISNOS,HUILA,GUERRILLA,FARC,AT_Atentados_Terroristas,1.945591321,-76.18204722
2003,EL PAUJIL,CAQUETA,GUERRILLA,FARC,AT_Atentados_Terroristas,1.476630016,-75.20231825
2003,EL PAUJIL,CAQUETA,GUERRILLA,FARC,AT_Atentados_Terroristas,1.476630016,-75.20231825
2003,ARAUCA,ARAUCA,GUERRILLA,,AT_Atentados_Terroristas,6.796280825,-70.50921153
2003,SOCHA,BOYACA,GUERRILLA,FARC,AT_Atentados_Terroristas,5.960498836,-72.68239784
2003,SAN MARTIN,META,GUERRILLA,FARC,AT_Atentados_Terroristas,3.515860962,-72.65672742
2003,PUERTO RICO,META,GUERRILLA,FARC,AT_Atentados_Terroristas,2.758083657,-73.13780171
2003,CHITA,BOYACA,GUERRILLA,FARC,AT_Atentados_Terroristas,6.091468485,-72.43903174
2003,"BOGOTA, D.C.","BOGOTA, D. C.",GUERRILLA,FARC,AT_Atentados_Terroristas,4.316107698,-74.1810727
2003,SARAVENA,ARAUCA,GUERRILLA,FARC,AT_Atentados_Terroristas,6.906941714,-71.85070757
2003,FORTUL,ARAUCA,GUERRILLA,,AT_Atentados_Terroristas,6.750907234,-71.79124241
2003,FORTUL,ARAUCA,GUERRILLA,FARC,AT_Atentados_Terroristas,6.750907234,-71.79124241
2003,VALLE DEL GUAMUEZ,PUTUMAYO,GRUPO ARMADO NO IDENTIFICADO,,AT_Atentados_Terroristas,0.423506,-76.906751
2003,YARUMAL,ANTIOQUIA,GUERRILLA,FARC,AT_Atentados_Terroristas,6.963832,-75.418828
2003,YARUMAL,ANTIOQUIA,DESCONOCIDO,,AT_Atentados_Terroristas,6.9881309,-75.45439957
2003,ITUANGO,ANTIOQUIA,GUERRILLA,FARC,AT_Atentados_Terroristas,7.341549718,-75.67842277
2003,TAME,ARAUCA,GUERRILLA,FARC,AT_Atentados_Terroristas,6.390650479,-71.79178647
2003,TAME,ARAUCA,GRUPO ARMADO NO IDENTIFICADO,,AT_Atentados_Terroristas,6.390650479,-71.79178647
2003,BARRANQUILLA,ATLANTICO,GUERRILLA,,AT_Atentados_Terroristas,10.98152051,-74.82771544
2004,"BOGOTA, D.C.","BOGOTA, D. C.",GRUPO PARAMILITAR,,AT_Atentados_Terroristas,4.316107698,-74.1810727
2004,TAME,ARAUCA,GUERRILLA,FARC,AT_Atentados_Terroristas,6.390650479,-71.79178647
2004,SAN RAFAEL,ANTIOQUIA,GRUPO PARAMILITAR,,AT_Atentados_Terroristas,6.31074453,-74.99858652
