departamento,municipio,municipio_id,year,loss_ha,key
Antioquia,Peñol,PENOL,2024,8,PENOL_2024
Antioquia,Pueblorrico,PUEBLORRICO,2024,45,PUEBLORRICO_2024
Antioquia,Puerto Berrío,PUERTO BERRIO,2024,311,PUERTO BERRIO_2024
Antioquia,Puerto Nare,PUERTO NARE,2024,96,PUERTO NARE_2024
Antioquia,Puerto Triunfo,PUERTO TRIUNFO,2024,41,PUERTO TRIUNFO_2024
Antioquia,Remedios,REMEDIOS,2024,2256,REMEDIOS_2024
Antioquia,Retiro,RETIRO,2024,86,RETIRO_2024
Antioquia,Rionegro,RIONEGRO,2024,25,RIONEGRO_2024
Antioquia,Sabanalarga,SABANALARGA,2024,23,SABANALARGA_2024
Antioquia,Sabaneta,SABANETA,2024,1,SABANETA_2024
Antioquia,Salgar,SALGAR,2024,234,SALGAR_2024
Antioquia,San Andrés de Cuerquia,SAN ANDRES DE CUERQUIA,2024,49,SAN ANDRES DE CUERQUIA_2024
Antioquia,San Carlos,SAN CARLOS,2024,225,SAN CARLOS_2024
Antioquia,San Francisco,SAN FRANCISCO,2024,54,SAN FRANCISCO_2024
Antioquia,San Jerónimo,SAN JERONIMO,2024,18,SAN JERONIMO_2024
Antioquia,San José de la Montaña,SAN JOSE DE LA MONTANA,2024,32,SAN JOSE DE LA MONTANA_2024
Antioquia,San Juan de Urabá,SAN JUAN DE URABA,2024,168,SAN JUAN DE URABA_2024
Antioquia,San Luís,SAN LUIS,2024,185,SAN LUIS_2024
Antioquia,San Pedro de Urabá,SAN PEDRO DE URABA,2024,123,SAN PEDRO DE URABA_2024
Antioquia,San Pedro de los Milagros,SAN PEDRO DE LOS MILAGROS,2024,25,SAN PEDRO DE LOS MILAGROS_2024
Antioquia,San Rafael,SAN RAFAEL,2024,50,SAN RAFAEL_2024
Antioquia,San Roque,SAN ROQUE,2024,172,SAN ROQUE_2024
Antioquia,San Vicente,SAN VICENTE,2024,18,SAN VICENTE_2024
Antioquia,Santa Bárbara,SANTA BARBARA,2024,46,SANTA BARBARA_2024
Antioquia,Santa Rosa de Osos,SANTA ROSA DE OSOS,2024,301,SANTA ROSA DE OSOS_2024
Antioquia,Santafé de Antioquia,SANTAFE DE ANTIOQUIA,2024,44,SANTAFE DE ANTIOQUIA_2024
Antioquia,Santo Domingo,SANTO DOMINGO,2024,10,SANTO DOMINGO_2024
Antioquia,Santuario,SANTUARIO,2024,2,SANTUARIO_2024
Antioquia,Segovia,SEGOVIA,2024,1503,SEGOVIA_2024
Antioquia,Sonsón,SONSON,2024,171,SONSON_2024
Antioquia,Tarazá,TARAZA,2024,425,TARAZA_2024
Antioquia,Tarso,TARSO,2024,53,TARSO_2024
Antioquia,Titiribí,TITIRIBI,2024,6,TITIRIBI_2024
Antioquia,Toledo,TOLEDO,2024,22,TOLEDO_2024
Antioquia,Turbo,TURBO,2024,786,TURBO_2024
Antioquia,Támesis,TAMESIS,2024,21,TAMESIS_2024
Antioquia,Uramita,URAMITA,2024,93,URAMITA_2024
Antioquia,Urrao,URRAO,2024,443,URRAO_2024
Antioquia,Valdivia,VALDIVIA,2024,118,VALDIVIA_2024
Antioquia,Valparaíso,VALPARAISO,2024,12,VALPARAISO_2024
Antioquia,Vegachí,VEGACHI,2024,647,VEGACHI_2024
Antioquia,Venecia,VENECIA,2024,0,VENECIA_2024
Antioquia,Vigía del Fuerte,VIGIA DEL FUERTE,2024,7,VIGIA DEL FUERTE_2024
Antioquia,Yalí,YALI,2024,340,YALI_2024
Antioquia,Yarumal,YARUMAL,2024,200,YARUMAL_2024
Antioquia,Yolombó,YOLOMBO,2024,480,YOLOMBO_2024
Antioquia,Yondó,YONDO,2024,966,YONDO_2024
Antioquia,Zaragoza,ZARAGOZA,2024,943,ZARAGOZA_2024
Arauca,Arauca,ARAUCA,2024,482,ARAUCA_2024
Arauca,Arauquita,ARAUQUITA,2024,2254,ARAUQUITA_2024
Arauca,Cravo Norte,CRAVO NORTE,2024,23,CRAVO NORTE_2024
Arauca,Fortul,FORTUL,2024,155,FORTUL_2024
Arauca,Puerto Rondón,PUERTO RONDON,2024,154,PUERTO RONDON_2024
Arauca,Saravena,SARAVENA,2024,186,SARAVENA_2024
Arauca,Tame,TAME,2024,866,TAME_2024
Atlántico,Baranoa,BARANOA,2024,7,BARANOA_2024
Atlántico,Barranquilla,BARRANQUILLA,2024,3,BARRANQUILLA_2024
Atlántico,Campo de la Cruz,CAMPO DE LA CRUZ,2024,0,CAMPO DE LA CRUZ_2024
Atlántico,Candelaria,CANDELARIA,2024,0,CANDELARIA_2024
Atlántico,Galapa,GALAPA,2024,17,GALAPA_2024
Atlántico,Juan de Acosta,JUAN DE ACOSTA,2024,17,JUAN DE ACOSTA_2024
Atlántico,Luruaco,LURUACO,2024,49,LURUACO_2024
Atlántico,Malambo,MALAMBO,2024,3,MALAMBO_2024
Atlántico,Manatí,MANATI,2024,5,MANATI_2024
Atlántico,Palmar de Varela,PALMAR DE VARELA,2024,3,PALMAR DE VARELA_2024
Atlántico,Piojó,PIOJO,2024,12,PIOJO_2024
Atlántico,Polonuevo,POLONUEVO,2024,1,POLONUEVO_2024
Atlántico,Ponedera,PONEDERA,2024,0,PONEDERA_2024
Atlántico,Puerto Colombia,PUERTO COLOMBIA,2024,5,PUERTO COLOMBIA_2024
Atlántico,Repelón,REPELON,2024,33,REPELON_2024
Atlántico,Sabanagrande,SABANAGRANDE,2024,1,SABANAGRANDE_2024
Atlántico,Sabanalarga,SABANALARGA,2024,28,SABANALARGA_2024
Atlántico,Santa Lucía,SANTA LUCIA,2024,1,SANTA LUCIA_2024
Atlántico,Santo Tomás,SANTO TOMAS,2024,3,SANTO TOMAS_2024
Atlántico,Soledad,SOLEDAD,2024,0,SOLEDAD_2024
Atlántico,Suan,SUAN,2024,1,SUAN_2024
Atlántico,Tubará,TUBARA,2024,12,TUBARA_2024
Atlántico,Usiacurí,USIACURI,2024,11,USIACURI_2024
Bogotá D.C.,Bogotá D.C.,BOGOTA D.C.,2024,19,BOGOTA D.C._2024
Bolívar,Achí,ACHI,2024,64,ACHI_2024
Bolívar,Altos del Rosario,ALTOS DEL ROSARIO,2024,55,ALTOS DEL ROSARIO_2024
Bolívar,Arenal,ARENAL,2024,190,ARENAL_2024
Bolívar,Arjona,ARJONA,2024,23,ARJONA_2024
Bolívar,Arroyohondo,ARROYOHONDO,2024,22,ARROYOHONDO_2024
Bolívar,Barranco de Loba,BARRANCO DE LOBA,2024,74,BARRANCO DE LOBA_2024
Bolívar,Calamar,CALAMAR,2024,20,CALAMAR_2024
Bolívar,Cantagallo,CANTAGALLO,2024,486,CANTAGALLO_2024
Bolívar,Cartagena de Indias,CARTAGENA DE INDIAS,2024,123,CARTAGENA DE INDIAS_2024
Bolívar,Cicuco,CICUCO,2024,1,CICUCO_2024
Bolívar,Clemencia,CLEMENCIA,2024,11,CLEMENCIA_2024
Bolívar,Córdoba,CORDOBA,2024,24,CORDOBA_2024
Bolívar,El Carmen de Bolívar,EL CARMEN DE BOLIVAR,2024,664,EL CARMEN DE BOLIVAR_2024
Bolívar,El Guamo,EL GUAMO,2024,177,EL GUAMO_2024
Bolívar,El Peñon,EL PENON,2024,58,EL PENON_2024
Bolívar,Hatillo de Loba,HATILLO DE LOBA,2024,10,HATILLO DE LOBA_2024
Bolívar,Magangué,MAGANGUE,2024,9,MAGANGUE_2024
Bolívar,Mahates,MAHATES,2024,98,MAHATES_2024
Bolívar,Margarita,MARGARITA,2024,35,MARGARITA_2024
Bolívar,María la Baja,MARIA LA BAJA,2024,286,MARIA LA BAJA_2024
Bolívar,Mompós,MOMPOS,2024,42,MOMPOS_2024
Bolívar,Montecristo,MONTECRISTO,2024,654,MONTECRISTO_2024
Bolívar,Morales,MORALES,2024,432,MORALES_2024
Bolívar,Pinillos,PINILLOS,2024,17,PINILLOS_2024
Bolívar,Regidor,REGIDOR,2024,56,REGIDOR_2024
Bolívar,Río Viejo,RIO VIEJO,2024,711,RIO VIEJO_2024
Bolívar,San Cristobal,SAN CRISTOBAL,2024,1,SAN CRISTOBAL_2024
